id,title,date,description,digitized,language,subject,location_city,location_state,location_country,image_url,url,item_date_issued,item_created_published,item_medium,item_language,item_newspaper_title,item_lccn,item_place_of_publication
http://www.loc.gov/item/sn85025570/1894-06-07/ed-1/,"The Redwood gazette (Redwood Falls, Minn.), June 7, 1894",1894-06-07,"Redwood Falls, Minn.",True,english,"redwood county, united states, newspapers, redwood falls, redwood falls (minn.), minnesota, redwood county (minn.), redwood",redwood falls,minnesota,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:mnhi:batch_mnhi_allemande_ver01:data:sn85025570:00199919982:1894060701:0181/full/pct:3.125/0/default.jpg#h=263&w=182,https://www.loc.gov/item/sn85025570/1894-06-07/ed-1/,1894-06-07,"Redwood Falls, Minn., June 7, 1894",8 pages,eng,The Redwood gazette,sn85025570,"Redwood Falls, Minn."
http://www.loc.gov/item/sn84027696/1868-02-22/ed-1/,"Des Arc weekly citizen (Des Arc, Ark.), February 22, 1868",1868-02-22,"Des Arc, Ark.",True,english,"arkansas, united states, des arc, prairie, newspapers, des arc (ark.), https://id.oclc.org/worldcat/entity/e39pbjfcpbdrxmkfmqxhdp6h73",des arc,arkansas,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:arhi:batch_arhi_dragonair_ver01:data:sn84027696:0041421258A:1868022201:0196/full/pct:6.25/0/default.jpg#h=452&w=364,https://www.loc.gov/item/sn84027696/1868-02-22/ed-1/,1868-02-22,"Des Arc, Ark., February 22, 1868",4 pages,eng,Des Arc weekly citizen,sn84027696,"Des Arc, Ark."
http://www.loc.gov/item/sn90061782/,"Morgan County Democrat (Versailles, Mo.) 1900-1906",1900,"Weekly Began in 1900? -7th year, no. 33 (Aug. 17, 1906). Archived issues are available in digital format as part of the Library of Congress Chronicling America online collection. Description based on: 4th year, no. 28 (July 10, 1903). Morgan County republican (Versailles, Mo.) 2165-7734 (DLC)sn 90061783 (OCoLC)21614992",True,english,"united states, morgan county (mo.), morgan, newspapers, versailles (mo.), missouri, morgan county, versailles",versailles,missouri,united states,,https://www.loc.gov/item/sn90061782/,,"Versailles, Mo. : Tillman & Price, -1906.",v.,eng,,,
http://www.loc.gov/item/sn96027724/1907-08-28/ed-1/,"The Florida agriculturist (DeLand, Fla.), August 28, 1907",1907-08-28,"DeLand, Fla.",True,english,"jacksonville, florida, united states, volusia, de land, agriculture, jacksonville (fla.), volusia county (fla.), newspapers, duval county (fla.), duval, de land (fla.), volusia county, duval county","jacksonville, de land",florida,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:fu:batch_fu_bathouse_ver01:data:sn96027724:00271761648:1907082801:0128/full/pct:3.125/0/default.jpg#h=314&w=220,https://www.loc.gov/item/sn96027724/1907-08-28/ed-1/,1907-08-28,"DeLand, Fla., August 28, 1907",16 pages,eng,The Florida agriculturist,sn96027724,"DeLand, Fla."
http://www.loc.gov/item/sn85025006/1832-01-25/ed-1/,"Phenix gazette (Alexandria [D.C.]), January 25, 1832",1832-01-25,Alexandria [D.C.],True,english,"alexandria, united states, virginia, newspapers, alexandria county, alexandria county (va.), alexandria (va.)",alexandria,virginia,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:vi:batch_vi_isotopes_ver01:data:sn85025006:00414216456:1832012501:0551/full/pct:3.125/0/default.jpg#h=258&w=184,https://www.loc.gov/item/sn85025006/1832-01-25/ed-1/,1832-01-25,"Alexandria [D.C.], January 25, 1832",4 pages,eng,Phenix gazette,sn85025006,Alexandria [D.C.]
http://www.loc.gov/item/sn87093039/1917-05-04/ed-1/,"The Leavenworth echo (Leavenworth, Wash.), May 4, 1917",1917-05-04,"Leavenworth, Wash.",True,english,"washington (state), united states, leavenworth, washington, newspapers, chelan, leavenworth (wash.)",leavenworth,washington,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:wa:batch_wa_cedar_ver01:data:sn87093039:0021110059A:1917050401:0106/full/pct:6.25/0/default.jpg#h=404&w=297,https://www.loc.gov/item/sn87093039/1917-05-04/ed-1/,1917-05-04,"Leavenworth, Wash., May 4, 1917",6 pages,eng,The Leavenworth echo,sn87093039,"Leavenworth, Wash."
http://www.loc.gov/item/sn85035776/1909-04-16/ed-1/,"The monitor-register (Woodstown, Salem Co., N.J.), April 16, 1909",1909-04-16,"Woodstown, Salem Co., N.J.",True,english,"new jersey, united states, salem, woodstown (n.j.), newspapers, woodstown",woodstown,new jersey,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:njr:batch_njr_harveycedars_ver02:data:sn85035776:00513685658:1909041601:0534/full/pct:6.25/0/default.jpg#h=424&w=301,https://www.loc.gov/item/sn85035776/1909-04-16/ed-1/,1909-04-16,"Woodstown, Salem Co., N.J., April 16, 1909",8 pages,eng,The monitor-register,sn85035776,"Woodstown, Salem Co., N.J."
http://www.loc.gov/item/sn83045313/1938-10-19/ed-1/,"Le messager (Lewiston, Me.), October 19, 1938",1938-10-19,"Lewiston, Me.",True,"french, english","lewiston, lewiston (me.), united states, androscoggin, maine, french, french-canadians, french americans, newspapers",lewiston,maine,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:me:batch_me_franco_ver01:data:sn83045313:00542860807:1938101901:0732/full/pct:6.25/0/default.jpg#h=417&w=318,https://www.loc.gov/item/sn83045313/1938-10-19/ed-1/,1938-10-19,"Lewiston, Me., October 19, 1938",8 pages,"fre, eng",Le messager,sn83045313,"Lewiston, Me."
http://www.loc.gov/item/sn86091172/1893-03-27/ed-1/,"Wood River times (Hailey, Idaho), March 27, 1893",1893-03-27,"Hailey, Idaho",True,english,"united states, idaho, alturas, hailey (idaho), newspapers, blaine, hailey",hailey,idaho,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:idhi:batch_idhi_dickens_ver01:data:sn86091172:00295868089:1893032701:0282/full/pct:6.25/0/default.jpg#h=433&w=311,https://www.loc.gov/item/sn86091172/1893-03-27/ed-1/,1893-03-27,"Hailey, Idaho, March 27, 1893",4 pages,eng,Wood River times,sn86091172,"Hailey, Idaho"
http://www.loc.gov/item/sn83035644/1921-10-05/ed-1/,"America (Cleveland, Ohio), October 5, 1921",1921-10-05,"Cleveland, Ohio",True,"romanian, english","romanian, detroit, united states, cleveland (ohio), romanians, detroit (mich.), newspapers, labor, wayne, canada, ohio, romanian americans, romanian orthodox episcopate of america, cleveland, michigan, cuyahoga","cleveland, detroit","ohio, michigan",united states,https://tile.loc.gov/image-services/iiif/service:ndnp:ohi:batch_ohi_kino_ver04:data:sn83035644:00414210429:1921100501:0252/full/pct:3.125/0/default.jpg#h=284&w=223,https://www.loc.gov/item/sn83035644/1921-10-05/ed-1/,1921-10-05,"Cleveland, Ohio, October 5, 1921",4 pages,"rum, eng",America,sn83035644,"Cleveland, Ohio"
